Group,ICA,Timescale
young,DMN_1,2.4477855326617974
young,DMN_2,1.235353676677856
young,DMN_3,2.461314144543864
young,DMN_4,1.1892626093380576
young,DMN_5,2.1854360091339404
young,DMN_6,0.44886794065321795
young,DMN_7,2.496012902178818
young,DMN_8,1.1892324170353352
young,DMN_9,1.8662865931062382
young,DMN_10,2.1894838353185597
young,DMN_11,1.3089775518756404
young,SMN_1,1.2722845099500528
young,SMN_2,1.219414128376875
young,SMN_3,0.23710904103934416
young,SMN_4,0.9764311116132646
young,SMN_5,1.1830864407416928
young,SMN_6,1.9902928298735176
young,VIS_1,0.35941623225322106
young,VIS_2,1.166981886906491
young,VIS_3,1.0454299656431016
young,VIS_4,1.7541229467141786
young,VIS_5,1.4613567520508208
young,VIS_6,0.7703117417535187
young,VIS_7,1.040743035457429
young,VIS_8,1.2590483232459888
young,VIS_9,1.7419563874599215
young,VIS_10,0.8252844194501375
young,VIS_11,1.7561928929199806
young,VIS_12,1.018030359275763
young,SC_1,0.4165393813680489
young,SC_2,0.9093389239296535
young,SC_3,0.2737150638114681
young,SC_4,0.0
young,SC_5,1.0615937480512823
young,SC_6,0.4843948820853806
young,SC_7,0.9966734462193085
young,CC_1,0.962217137611624
young,CC_2,2.56473140764054
young,CC_3,1.347011778169118
young,CC_4,0.8466691038668974
young,CC_5,0.3705766331667488
young,CC_6,1.3870903845133127
young,CC_7,0.6252193829884655
young,CC_8,2.068789730831422
young,CC_9,0.40358015800418795
young,CC_10,0.4335609564366625
young,CC_11,1.5447481245461294
young,CC_12,1.5622902232315479
young,CC_13,0.203647906746145
young,CC_14,0.8156834143219064
young,CC_15,2.407688532483513
young,CC_16,1.4974648184022772
young,CC_17,0.6162922335517836
young,CC_18,2.4739114205808264
young,AUD_1,0.5092124479313345
young,AUD_2,0.3966828677456484
young,AUD_3,1.943391206861783
young,AUD_4,2.1034709987821363
young,AUD_5,2.1567654672604935
young,AUD_6,1.7921321285642324
young,DMN_1,0.5422656906948043
young,DMN_2,2.1188765951473125
young,DMN_3,1.7843031186031275
young,DMN_4,1.0610787914955482
young,DMN_5,2.2357073426498153
young,DMN_6,1.910088374115592
young,DMN_7,3.234966521582069
young,DMN_8,0.6012200840908726
young,DMN_9,2.5789963555695286
young,DMN_10,2.7408910292752755
young,DMN_11,1.4003038553619902
young,SMN_1,4.320574380136112
young,SMN_2,1.5153251880307486
young,SMN_3,1.7206258867972648
young,SMN_4,1.6246693679186686
young,SMN_5,1.72286851269304
young,SMN_6,5.127404131651422
young,VIS_1,1.0547288337586016
young,VIS_2,2.7077241244727785
young,VIS_3,2.436189869793343
young,VIS_4,2.126715322013504
young,VIS_5,1.915918973274389
young,VIS_6,1.6656490169955904
young,VIS_7,1.9173971449629663
young,VIS_8,1.8787592548662055
young,VIS_9,1.3886625466414355
young,VIS_10,2.240819780270414
young,VIS_11,0.8997511656141732
young,VIS_12,1.7030972250304588
young,SC_1,0.3498541001632513
young,SC_2,0.4857404574603862
young,SC_3,0.8702857518503566
young,SC_4,0.2654706454052557
young,SC_5,0.7201488838692411
young,SC_6,1.1917832284155687
young,SC_7,0.8755917133826581
young,CC_1,0.8747183104284849
young,CC_2,2.946848136661754
young,CC_3,2.4648468378202084
