Group,Subjs,Timelag,Timescale
young,1,0,1.0
young,1,1,0.624872572221768
young,1,2,0.3590067020982893
young,1,3,0.2825619737523457
young,1,4,0.2476009544524046
young,1,5,0.29655147630854367
young,1,6,0.3013805601439328
young,1,7,0.19647508083684062
young,1,8,0.11357638687695898
young,1,9,0.025759825970713992
young,1,10,-0.030652660120669587
young,1,11,-0.030185260815175904
young,1,12,0.016073559389340193
young,1,13,0.07737082047788153
young,1,14,0.012915578900083487
young,1,15,-0.06760304033505785
young,1,16,-0.07486483397057495
young,1,17,-0.10401817450681108
young,1,18,-0.0924406515920577
young,1,19,-0.05152305054934788
young,1,20,-0.054007516444520495
young,1,21,-0.07090780611869239
young,1,22,-0.09330321684286172
young,1,23,-0.10348803360025775
young,1,24,-0.08159648042236409
young,2,0,1.0
young,2,1,0.18379715216470016
young,2,2,0.28221043397068374
young,2,3,0.07625810455942043
young,2,4,-0.005499052996102737
young,2,5,0.019612176316707416
young,2,6,-0.018734358928035492
young,2,7,-0.039944423644666965
young,2,8,-0.07952485614931308
young,2,9,-0.0346719128338377
young,2,10,0.0064594469657516616
young,2,11,-0.030727689842862616
young,2,12,0.008265857040877338
young,2,13,-0.008422045475933674
young,2,14,0.03784609626031884
young,2,15,-0.027124564300388548
young,2,16,0.019292810846060167
young,2,17,-0.006608231899362317
young,2,18,-0.10612980848825618
young,2,19,-0.05104225393772581
young,2,20,-0.08703470257299994
young,2,21,-0.13004814233662587
young,2,22,-0.07542267492256473
young,2,23,-0.09148035024367755
young,2,24,-0.09756874025300306
young,3,0,1.0
young,3,1,0.7089674173302574
young,3,2,0.5744720720565994
young,3,3,0.4718658611326372
young,3,4,0.4192390659869838
young,3,5,0.36234235559686034
young,3,6,0.3468808517404894
young,3,7,0.3001702626011055
young,3,8,0.2092218128320415
young,3,9,0.14504131765928244
young,3,10,0.10222716811597223
young,3,11,0.11076370532675679
young,3,12,0.11511937962193798
young,3,13,0.09097626408280388
young,3,14,0.09416296455576303
young,3,15,0.06687782298360759
young,3,16,0.06958673275458414
young,3,17,0.06437085671859197
young,3,18,0.030863098177551427
young,3,19,0.008938488521898422
young,3,20,-0.026909538478296427
young,3,21,-0.09319482138401984
young,3,22,-0.14216906633642576
young,3,23,-0.14353563108200385
young,3,24,-0.1520950233600494
young,4,0,1.0
young,4,1,0.5880553380422614
young,4,2,0.32378535698461475
young,4,3,0.11849408765889316
young,4,4,0.09023825415091981
young,4,5,0.030680015766415106
young,4,6,0.02832375968209684
young,4,7,-0.04025977340834475
young,4,8,-0.07578858820642426
young,4,9,-0.0883122191257115
young,4,10,-0.051891272212792605
young,4,11,-0.02715032333301335
young,4,12,-0.01219447443899439
young,4,13,-0.038310547679981356
young,4,14,-0.11831143279855255
young,4,15,-0.04614491457241148
young,4,16,-0.08454190649868815
young,4,17,-0.04541297637830975
young,4,18,-0.034842819485497355
young,4,19,-0.024383786196963343
young,4,20,-0.07106486703255646
young,4,21,-0.07561338418840297
young,4,22,-0.11043426611152518
young,4,23,-0.07379155733138465
young,4,24,-0.03907593864299511
young,5,0,1.0
young,5,1,-0.4488307615439341
young,5,2,0.5332995430091871
young,5,3,-0.42904001266342323
young,5,4,0.3472649001929686
young,5,5,-0.34783946506448316
young,5,6,0.29699758142368843
young,5,7,-0.23796972603287933
young,5,8,0.23939035765887856
young,5,9,-0.29327885773545465
young,5,10,0.20671619028163182
young,5,11,-0.2465033199846222
young,5,12,0.1510348342205786
young,5,13,-0.17728461841536888
young,5,14,0.13688106862985533
young,5,15,-0.10167762308877715
young,5,16,0.07481462534759652
young,5,17,-0.09197429239626047
young,5,18,0.10508509314907635
young,5,19,-0.08741745011719472
young,5,20,0.11841925489056505
young,5,21,-0.07594049155455412
young,5,22,0.06713850588786371
young,5,23,-0.09556637562805646
young,5,24,0.02719621785010519
young,6,0,1.0
young,6,1,0.5644317286084056
young,6,2,0.45558661434344216
young,6,3,0.382551070734172
young,6,4,0.3325587221099347
young,6,5,0.3060541438711089
young,6,6,0.30959333978926473
young,6,7,0.2840471251192577
young,6,8,0.2597977560083959
young,6,9,0.22322349111380543
young,6,10,0.17961516546058914
young,6,11,0.11702166828502418
young,6,12,0.06425859421953871
young,6,13,0.02659536146174015
young,6,14,-0.03521495776054371
young,6,15,-0.08975135295246081
young,6,16,-0.10484377088344092
young,6,17,-0.14792187483455266
young,6,18,-0.17263635656905407
young,6,19,-0.13058526546457463
young,6,20,-0.15347105002785758
young,6,21,-0.17027095775525372
young,6,22,-0.16882800590532607
young,6,23,-0.1889384987138999
young,6,24,-0.17330449564906936
young,7,0,1.0
young,7,1,0.3708645927606594
young,7,2,0.43514507281752907
young,7,3,0.3007112718405958
young,7,4,0.2428244030456394
young,7,5,0.12589499564153891
young,7,6,0.08558721749487605
young,7,7,0.018919714503791162
young,7,8,-0.023968323371168377
