Group,Subjs,Timelag,Timescale
young,20,21,-0.056359864243942966
young,20,22,-0.018365412762074047
young,20,23,0.0189120633759482
young,20,24,0.020867542247456485
young,21,0,1.0
young,21,1,0.5001450671043713
young,21,2,0.19650455464016184
young,21,3,0.08224965473355503
young,21,4,0.12889246530734877
young,21,5,0.02573020141297105
young,21,6,-0.017353534863363804
young,21,7,-0.061434682517940584
young,21,8,-0.025336411932694883
young,21,9,0.009787086682409301
young,21,10,0.08103626477691538
young,21,11,0.10191520873860895
young,21,12,0.17457154867207367
young,21,13,0.19179650169075899
young,21,14,0.15128743319859564
young,21,15,0.027575508132113888
young,21,16,-0.11245494143355234
young,21,17,-0.15825427102582657
young,21,18,-0.11571937248649627
young,21,19,-0.06818393907053451
young,21,20,-0.09344380420833209
young,21,21,-0.12916224440078944
young,21,22,-0.12322957625407382
young,21,23,-0.014728714585874145
young,21,24,0.02426776444303679
young,22,0,1.0
young,22,1,0.7920990116031726
young,22,2,0.4711489463916724
young,22,3,0.2671585979024203
young,22,4,0.1559543681941242
young,22,5,0.10348263027874206
young,22,6,0.10819459720168607
young,22,7,0.12016112027521755
young,22,8,0.08764347543748868
young,22,9,0.024288398450052224
young,22,10,-0.06462663389461464
young,22,11,-0.14553032411014918
young,22,12,-0.1586631996388051
young,22,13,-0.10992517601689096
young,22,14,-0.0620060705369447
young,22,15,-0.037417644167476914
young,22,16,-0.04853649771806088
young,22,17,-0.07419301755480716
young,22,18,-0.09412947174973556
young,22,19,-0.1254555824785947
young,22,20,-0.16843156116253055
young,22,21,-0.1790605649729337
young,22,22,-0.16897055986251516
young,22,23,-0.15186928601311311
young,22,24,-0.13057736794450994
young,23,0,1.0
young,23,1,0.6992557905471775
young,23,2,0.4018014613100757
young,23,3,0.2145433149088484
young,23,4,0.12896666592224015
young,23,5,0.029159461409895584
young,23,6,-0.03814778813663525
young,23,7,-0.07249587208383518
young,23,8,-0.0914820930159163
young,23,9,-0.09323020449835341
young,23,10,-0.13372052615757182
young,23,11,-0.196556153783179
young,23,12,-0.2513280785993911
young,23,13,-0.27645051474552407
young,23,14,-0.30242819268225235
young,23,15,-0.2712385216456675
young,23,16,-0.1997978069575326
young,23,17,-0.10002304810054681
young,23,18,-0.02449279884118292
young,23,19,0.001956275057378432
young,23,20,0.028006251108008348
young,23,21,-0.006788222708908445
young,23,22,-0.04916683308180697
young,23,23,-0.04069461096775984
young,23,24,-0.0028826875627321574
young,24,0,1.0
young,24,1,0.7712506048291947
young,24,2,0.5214836998878029
young,24,3,0.34989120571563126
young,24,4,0.2687527853345633
young,24,5,0.19002025924492633
young,24,6,0.1373849612034518
young,24,7,0.0491789161120147
young,24,8,-0.019051925915938142
young,24,9,-0.09696582499741019
young,24,10,-0.1611463986628512
young,24,11,-0.21073587960867027
young,24,12,-0.23156584164660604
young,24,13,-0.2291730213597021
young,24,14,-0.21978123451587062
young,24,15,-0.19718158119798773
young,24,16,-0.16856501751819514
young,24,17,-0.15756601356114672
young,24,18,-0.16982302464212828
young,24,19,-0.14369865362139347
young,24,20,-0.10135078962955911
young,24,21,-0.05577931668248371
young,24,22,-0.0408395222632941
young,24,23,-0.03153689152329103
young,24,24,-0.048656820064017496
young,25,0,1.0
young,25,1,0.7194800047854245
young,25,2,0.45656609934265346
young,25,3,0.3109757303316201
young,25,4,0.23647551530191285
young,25,5,0.21915759912734076
young,25,6,0.2038369980168345
young,25,7,0.1499877085746129
young,25,8,0.0918356908887925
young,25,9,0.02266245534092886
young,25,10,-0.04167922420223356
young,25,11,-0.07779835803790901
young,25,12,-0.08154108909018348
young,25,13,-0.06774373147928824
young,25,14,-0.081122844680346
young,25,15,-0.0939665067759047
young,25,16,-0.07623816844250267
young,25,17,-0.08535627742533515
young,25,18,-0.12680512048378856
young,25,19,-0.12807637875665345
young,25,20,-0.12570868569287932
young,25,21,-0.14340224908772195
young,25,22,-0.14836395117981582
young,25,23,-0.1580437672460105
young,25,24,-0.1936185263997595
young,26,0,1.0
young,26,1,0.7407930123721288
young,26,2,0.44379205522803866
young,26,3,0.265414718593516
young,26,4,0.16752531894745096
young,26,5,0.07842947684770704
young,26,6,0.03573788006068477
young,26,7,0.048282164897981816
young,26,8,0.0780396959741848
young,26,9,0.06549936998572797
young,26,10,0.04242902256519672
young,26,11,0.02674834522425874
young,26,12,-0.025396193577661343
young,26,13,-0.1188854309723488
young,26,14,-0.14640629879676162
young,26,15,-0.14363187058979185
young,26,16,-0.1472172935683602
young,26,17,-0.19546679173885637
young,26,18,-0.18359533051580693
young,26,19,-0.13185486912504932
young,26,20,-0.1304947439290508
young,26,21,-0.17473315770607248
young,26,22,-0.1726383819943486
young,26,23,-0.1582909659761931
young,26,24,-0.16912590391775761
young,27,0,1.0
young,27,1,0.594637351923898
young,27,2,0.3307772407251369
young,27,3,0.22143277742257964
young,27,4,0.13958751600055397
young,27,5,0.08287349912462488
young,27,6,0.011029065397828866
young,27,7,-0.06655604421185411
young,27,8,-0.13243294887119664
young,27,9,-0.17065571969649396
young,27,10,-0.16719342568186243
young,27,11,-0.17242859662327734
young,27,12,-0.172556188427193
young,27,13,-0.16658946570447183
young,27,14,-0.15349666709937654
young,27,15,-0.15307377052123486
young,27,16,-0.14252351880895572
young,27,17,-0.06406892422614555
young,27,18,-0.017295531360776276
young,27,19,-0.05423672916212814
young,27,20,-0.037709919382381246
young,27,21,0.03711417777091535
young,27,22,0.065849442774945
young,27,23,0.10031679141389051
young,27,24,0.06814871164507819
young,28,0,1.0
young,28,1,0.7331397696567639
young,28,2,0.44688673486152647
young,28,3,0.16593422337655195
young,28,4,-0.05333598585253691
young,28,5,-0.09827294106080373
young,28,6,-0.076745417578061
young,28,7,0.013518388081076513
young,28,8,0.07246300676458214
young,28,9,0.0446219503967528
young,28,10,0.024722700281855973
young,28,11,-0.00872216811622663
young,28,12,-0.06410469759391636
young,28,13,-0.06943876640217028
young,28,14,-0.04296864608231792
young,28,15,0.019954292916778728
young,28,16,0.0508001021304753
young,28,17,0.022560191593214988
young,28,18,-0.02498193122331028
young,28,19,-0.1069985195739525
young,28,20,-0.16610860588699397
young,28,21,-0.1880122181531837
young,28,22,-0.17900344654435366
young,28,23,-0.1513365961319193
young,28,24,-0.10762447611233662
young,29,0,1.0
young,29,1,0.48260617314973225
young,29,2,0.4054991038031015
young,29,3,0.07689329878399104
young,29,4,0.1000424488490451
young,29,5,-0.07695388347262971
young,29,6,-0.11917200230088341
young,29,7,-0.03129336321388402
young,29,8,-0.07635795025210707
young,29,9,0.022171682495583586
young,29,10,-0.06570055545909825
young,29,11,0.04398782419098981
young,29,12,-0.051543308103339715
young,29,13,0.019135255225725456
young,29,14,-0.09057221518518893
young,29,15,-0.07368198341852708
young,29,16,-0.12148307539196297
young,29,17,-0.12502574241172848
young,29,18,-0.1518080830264714
young,29,19,-0.13983495205117283
young,29,20,-0.08776465518403992
young,29,21,-0.14936043349571276
young,29,22,-0.13562135746754364
young,29,23,-0.16672552123234546
young,29,24,-0.07999930995344036
young,30,0,1.0
young,30,1,0.5993511446080303
young,30,2,0.3807258813975723
young,30,3,0.18446019497441937
young,30,4,0.007196416591793608
young,30,5,-0.017504044097582713
young,30,6,-0.07972154678125776
young,30,7,-0.10957223249340811
young,30,8,-0.16340646225197553
young,30,9,-0.1146773790178152
young,30,10,-0.11299158566851757
young,30,11,-0.11918349569217544
young,30,12,-0.10787916332809713
young,30,13,-0.1826768586629338
young,30,14,-0.1632004021752846
young,30,15,-0.13367737894225304
young,30,16,-0.07096888615646078
young,30,17,-0.10185699064954491
young,30,18,-0.14113242921009428
young,30,19,-0.18844592557468395
young,30,20,-0.22227456265524626
young,30,21,-0.1574505545842008
young,30,22,-0.11564492645446701
young,30,23,-0.019631613307207273
young,30,24,-0.0033993129757100707
young,31,0,1.0
young,31,1,0.8207151794168119
young,31,2,0.6273682143248966
young,31,3,0.3819982760535222
young,31,4,0.22321444548803232
young,31,5,0.07032113114826079
young,31,6,0.005010260370217776
young,31,7,-0.05711281441464161
young,31,8,-0.09930316385310688
young,31,9,-0.13464257842776495
young,31,10,-0.1541425887205702
young,31,11,-0.17925814082002864
young,31,12,-0.21884636943773808
young,31,13,-0.24857785565267784
young,31,14,-0.26809935002955804
young,31,15,-0.2637774956487471
young,31,16,-0.2525167616986033
young,31,17,-0.2300715496473902
young,31,18,-0.22608767121482534
young,31,19,-0.1995023279871099
young,31,20,-0.17824797530758002
young,31,21,-0.1402339003638096
young,31,22,-0.11091751175246038
young,31,23,-0.05989194159994734
young,31,24,-0.00021882746628591493
young,32,0,1.0
young,32,1,0.6176361303588764
young,32,2,0.4054615538265127
young,32,3,0.327979412575684
young,32,4,0.25533439886236065
young,32,5,0.18320691796084349
young,32,6,0.09588306802493199
young,32,7,0.03912620572129596
young,32,8,-0.006663118716685564
young,32,9,-0.061014861042571776
young,32,10,-0.05307396895234563
young,32,11,-0.06866443014429488
young,32,12,-0.11419051265800674
young,32,13,-0.11603804655232207
young,32,14,-0.07764398053254667
young,32,15,-0.020050877270422537
young,32,16,-0.02763476038063947
young,32,17,-0.024430367921102
young,32,18,-0.03704732094599288
young,32,19,-0.01434442309698846
young,32,20,-0.08970505133775092
young,32,21,-0.13191157046096086
young,32,22,-0.12804695226036267
young,32,23,-0.12463968441457429
young,32,24,-0.12376970464204229
young,33,0,1.0
young,33,1,0.5859886724538754
young,33,2,0.40472429985974717
young,33,3,0.28679619189619276
young,33,4,0.1781322721636944
young,33,5,0.14243128023001358
young,33,6,0.03895586057368518
young,33,7,-0.007120855640567346
young,33,8,-0.11023258415353522
young,33,9,-0.11455023476858717
young,33,10,-0.09956867962354887
young,33,11,-0.12268122728282284
young,33,12,-0.19534066284824386
young,33,13,-0.1661192818569128
young,33,14,-0.13019062665050232
young,33,15,-0.14758132631413812
young,33,16,-0.12181938001734814
young,33,17,-0.13914476784102248
young,33,18,-0.12374104931623015
young,33,19,-0.10721106363850025
young,33,20,-0.06411445607876592
young,33,21,-0.055415842319986565
young,33,22,-0.10647182091054937
young,33,23,-0.12982833852247574
young,33,24,-0.08410977747074462
young,34,0,1.0
young,34,1,0.625667941742496
young,34,2,0.3856107712796401
young,34,3,0.35311494242529295
young,34,4,0.36269959119127937
young,34,5,0.2942785583803378
young,34,6,0.2283512261735226
young,34,7,0.2088513453464977
young,34,8,0.13103789047983905
young,34,9,0.1388075862474637
young,34,10,0.08376109760466321
young,34,11,-0.019056558125009348
young,34,12,-0.09664556147319847
young,34,13,-0.09760029623445021
young,34,14,-0.08816232725842998
young,34,15,-0.13394776179823054
young,34,16,-0.19769494489939554
young,34,17,-0.25408988347098277
young,34,18,-0.31773460353529687
young,34,19,-0.34702807908645156
young,34,20,-0.3427228374426893
young,34,21,-0.3510299757513428
young,34,22,-0.3530755558028464
young,34,23,-0.38366725575972305
young,34,24,-0.3604221096417487
elder,35,0,1.0
elder,35,1,0.34968417847534794
elder,35,2,0.3960714266937098
elder,35,3,0.3260774960365689
elder,35,4,0.1929119783006337
elder,35,5,0.11087843173970441
elder,35,6,0.07416557525914051
elder,35,7,-0.05598055722869912
elder,35,8,-0.07631338623334388
elder,35,9,-0.13204718645546817
elder,35,10,-0.12257519987280655
elder,35,11,-0.09182396824187483
elder,35,12,-0.07588475420123345
elder,35,13,-0.10744663396089549
elder,35,14,-0.02777260411101762
elder,35,15,-0.04983741861362994
elder,35,16,-0.07316053159898649
elder,35,17,-0.044176313088840076
elder,35,18,-0.04273507192220836
elder,35,19,-0.1113666537185063
elder,35,20,-0.05497272960495586
elder,35,21,-0.09776540184157279
elder,35,22,-0.061512282645809005
elder,35,23,-0.07486265879600372
elder,35,24,-0.10962502590624008
elder,36,0,1.0
elder,36,1,0.7646614637616813
elder,36,2,0.5644354526676909
elder,36,3,0.3210487175038563
elder,36,4,0.08881605715204305
elder,36,5,-0.08718574598859508
elder,36,6,-0.23813702403032116
elder,36,7,-0.33477667079855594
elder,36,8,-0.38737414092670974
elder,36,9,-0.3681054190436145
elder,36,10,-0.33209464741824574
elder,36,11,-0.26343854016805124
elder,36,12,-0.19251552802766816
elder,36,13,-0.1366678240936974
elder,36,14,-0.09743375424271032
elder,36,15,-0.062339745182540686
elder,36,16,-0.05347890201692493
elder,36,17,-0.015664492048229502
elder,36,18,0.04419683337200285
elder,36,19,0.08178796526139179
elder,36,20,0.11310787076655031
elder,36,21,0.1554647267666612
elder,36,22,0.23236204643596056
elder,36,23,0.22174346225926483
