Group,ICA,GMV
Younger,DMN_1,0.633542183673743
Younger,DMN_2,1.5346286878845852e-06
Younger,DMN_3,0.15653378651900726
Younger,DMN_4,0.35812973976135254
Younger,DMN_5,0.4695911073323452
Younger,DMN_6,0.5705800580255913
Younger,DMN_7,0.3833952695131302
Younger,DMN_8,0.5472511847813925
Younger,DMN_9,0.6341061393419901
Younger,DMN_10,0.5410430792606238
Younger,DMN_11,0.18642868688612274
Younger,SMN_1,0.27919149127873505
Younger,SMN_2,0.3987776492581223
Younger,SMN_3,0.3468381175489137
Younger,SMN_4,0.2712788356072975
Younger,SMN_5,0.42653197140404675
Younger,SMN_6,0.4609014400930116
Younger,VIS_1,0.37614725755922723
Younger,VIS_2,0.6118771560264357
Younger,VIS_3,0.5522910672606844
Younger,VIS_4,0.3654945492744446
Younger,VIS_5,0.6048654597817045
Younger,VIS_6,0.39533297762726294
Younger,VIS_7,0.6533170252135305
Younger,VIS_8,0.6241616615743348
Younger,VIS_9,0.5317481042760791
Younger,VIS_10,0.5707947882738981
Younger,VIS_11,0.47923319899674616
Younger,VIS_12,0.4148834130980752
Younger,SC_1,0.000284794833284898
Younger,SC_2,0.42479900248122937
Younger,SC_3,0.003735516970857244
Younger,SC_4,0.3835321709965215
Younger,SC_5,0.5256589849789938
Younger,SC_6,0.4769375270063227
Younger,SC_7,0.48200426679669006
Younger,CC_1,0.46703149965315155
Younger,CC_2,0.5326092026450417
Younger,CC_3,0.1445941518653523
Younger,CC_4,0.4203994129643296
Younger,CC_5,0.33187393257112213
Younger,CC_6,0.0
Younger,CC_7,0.4548021320140723
Younger,CC_8,0.387712094819907
Younger,CC_9,0.3770189077565164
Younger,CC_10,0.49488494703263947
Younger,CC_11,0.37636025566043274
Younger,CC_12,0.20805016069701224
Younger,CC_13,0.40912088932413043
Younger,CC_14,0.3102038836840427
Younger,CC_15,0.2803747658476685
Younger,CC_16,0.2681831798770211
Younger,CC_17,0.3561553386124698
Younger,CC_18,0.1697163258989652
Younger,AUD_1,0.5854512155056
Younger,AUD_2,0.339285824786533
Younger,AUD_3,0.5127337421431686
Younger,AUD_4,0.520179086562359
Younger,AUD_5,0.6051498814062639
Younger,AUD_6,0.5618808395934828
Younger,DMN_1,0.7324807102029974
Younger,DMN_2,1.7969042539983155e-06
Younger,DMN_3,0.13977969347527533
Younger,DMN_4,0.5301839682188901
Younger,DMN_5,0.4541374923604907
Younger,DMN_6,0.5432034333546957
Younger,DMN_7,0.5000778283133651
Younger,DMN_8,0.6240095676797809
Younger,DMN_9,0.590961142019792
Younger,DMN_10,0.4788860741889838
Younger,DMN_11,0.28859048585096997
Younger,SMN_1,0.45996028817061224
Younger,SMN_2,0.4525409160238324
Younger,SMN_3,0.6270940881786924
Younger,SMN_4,0.36736244866342255
Younger,SMN_5,0.41135080203865515
Younger,SMN_6,0.5570384092403181
Younger,VIS_1,0.3485016262892521
Younger,VIS_2,0.6024177742726875
Younger,VIS_3,0.5804399504806056
Younger,VIS_4,0.4447170270211769
Younger,VIS_5,0.47522842613133515
Younger,VIS_6,0.47378746939427924
Younger,VIS_7,0.7481253165187258
Younger,VIS_8,0.7033459742863973
Younger,VIS_9,0.41390218517997046
Younger,VIS_10,0.6565662315397551
Younger,VIS_11,0.5187599902803247
Younger,VIS_12,0.4922004324017149
Younger,SC_1,0.025684283538298172
Younger,SC_2,0.4838040326580857
Younger,SC_3,0.004777254105482081
Younger,SC_4,0.45094620007457153
Younger,SC_5,0.42394092769333813
Younger,SC_6,0.5568621483716097
Younger,SC_7,0.5736810366312662
Younger,CC_1,0.4559062294887774
Younger,CC_2,0.5995779254219749
Younger,CC_3,0.19131581304651318
Younger,CC_4,0.6303921919880491
Younger,CC_5,0.33131961569641577
Younger,CC_6,0.0
Younger,CC_7,0.5494888135881135
Younger,CC_8,0.4521807811476968
Younger,CC_9,0.43389716834732983
