Group,ICA,Timescale
young,DMN,0.8712179612525678
young,SMN,1.0704889492307728
young,VIS,0.9911983957199778
young,SC,0.7566663436555858
young,CC,0.922341956782918
young,AUD,0.9489102839145748
young,DMN,1.2538918357796236
young,SMN,1.4570379449457473
young,VIS,1.5798498288673144
young,SC,1.0184755700710768
young,CC,1.5852860710058794
young,AUD,1.270222228934721
young,DMN,0.921748922941105
young,SMN,0.9648975335038604
young,VIS,0.7530303123528622
young,SC,1.2620879885395608
young,CC,1.097638188198195
young,AUD,1.136059827127342
young,DMN,0.8096331103607454
young,SMN,1.0086366337793848
young,VIS,0.9063022658233969
young,SC,0.521087575536623
young,CC,0.789879260099778
young,AUD,0.46285474436754054
young,DMN,0.25225676443796596
young,SMN,0.3283722423039935
young,VIS,0.5198804393586692
young,SC,0.59289730641382
young,CC,0.22718882191784878
young,AUD,0.3466246720486826
young,DMN,1.2147243218146935
young,SMN,2.0836951440399183
young,VIS,1.9051775904575312
young,SC,1.4739413845219151
young,CC,1.323214902467373
young,AUD,1.0842672704664558
young,DMN,0.9398062182582341
young,SMN,0.9001390371498798
young,VIS,1.1856334601066325
young,SC,1.114263387628564
young,CC,1.2057623042527676
young,AUD,1.0028639007689284
young,DMN,0.8938317983910735
young,SMN,0.8810486446323648
young,VIS,1.288044125982042
young,SC,1.2610872024020499
young,CC,1.1472579129722054
young,AUD,1.1860758830739855
young,DMN,0.7673659730569259
young,SMN,0.9297482907503646
young,VIS,0.7643355020579577
young,SC,0.7154859748373276
young,CC,0.6616533412919547
young,AUD,0.5569815604910919
young,DMN,0.715469715138409
young,SMN,0.8280656251779271
young,VIS,1.026166813543873
young,SC,0.8755314773765883
young,CC,0.8260768012355939
young,AUD,0.7592044813308978
young,DMN,0.8578740672387954
young,SMN,1.0766130471118085
young,VIS,1.5947238286510457
young,SC,1.2190815883258599
young,CC,1.1663514353439643
young,AUD,1.166984301542213
young,DMN,0.9166069734676835
young,SMN,1.6334942265139938
young,VIS,1.466297620383891
young,SC,1.4264405023925317
young,CC,1.1175291422749094
young,AUD,1.4173319874956716
young,DMN,1.0595238348002451
young,SMN,1.0275525997127193
young,VIS,0.8559238227047573
young,SC,1.0461912769170962
young,CC,0.9946828275331492
young,AUD,0.8632868231669563
young,DMN,0.8970878694861795
young,SMN,0.8670386155647081
young,VIS,1.2468691566880235
young,SC,0.8430762812564494
young,CC,0.843546688357149
young,AUD,0.6889880360308562
young,DMN,0.3879617853717873
young,SMN,0.6806264532376991
young,VIS,0.6918001141345519
young,SC,0.9395910456105643
young,CC,0.5861141809099203
young,AUD,0.1853980535915901
young,DMN,0.6833565762954543
young,SMN,0.3963554858933254
young,VIS,0.5912609030442969
young,SC,0.5374108605127202
young,CC,0.5440986506501291
young,AUD,0.5055420296181368
young,DMN,0.9552540331979987
young,SMN,0.6891556717086184
young,VIS,1.3319952135043325
young,SC,0.7593934666525642
young,CC,0.8720649019045433
young,AUD,0.9238376457162035
young,DMN,0.6738738632473462
young,SMN,0.6706648821665419
young,VIS,1.0193561354538991
young,SC,1.0810642413784968
young,CC,0.9875912504403477
young,AUD,0.949300630153172
young,DMN,1.0436036976055159
young,SMN,0.6724907359564853
young,VIS,0.9315299707914168
young,SC,1.0549248287330357
young,CC,1.1620272985797786
young,AUD,0.7446656037382399
young,DMN,1.362779843978189
young,SMN,1.1004839796594044
young,VIS,1.9498890366947006
young,SC,1.2613525349347128
young,CC,1.7328018292428342
young,AUD,1.1305198245469958
young,DMN,0.591397875218494
young,SMN,0.48352003654417103
young,VIS,0.7710574844846062
young,SC,0.7454499749825585
young,CC,0.9116873607854945
young,AUD,0.7845192289977206
young,DMN,0.9083620775877793
young,SMN,1.3816138759517267
young,VIS,1.1344884302437117
young,SC,0.9716256629933271
young,CC,1.1815697342751121
young,AUD,1.5121179532229743
young,DMN,0.6370347516439874
young,SMN,0.5098145321653142
young,VIS,0.6419066628116114
young,SC,0.7007850189375124
young,CC,0.4686887033686167
young,AUD,0.4706611358990653
young,DMN,0.7629317955125802
young,SMN,0.7153100240265658
young,VIS,0.9571499674961396
young,SC,1.2753672607642481
young,CC,0.806146878463415
young,AUD,0.6270721299215137
young,DMN,0.676776910744668
young,SMN,0.8580499547242209
young,VIS,1.0345418120651477
young,SC,1.2674903365689756
young,CC,0.7179300437057451
young,AUD,0.6404512421705842
young,DMN,0.9231467578336563
young,SMN,0.9817044781468388
young,VIS,1.381857954589629
young,SC,0.8803955622372779
young,CC,0.764989038819921
young,AUD,0.8924125546248511
young,DMN,0.37976191147633
young,SMN,0.5917856349364308
young,VIS,0.5671314857217019
young,SC,0.4946155058796405
young,CC,0.46815382973592534
young,AUD,0.42424202505712655
young,DMN,1.2934314388263113
young,SMN,1.6973637900736298
young,VIS,1.229546808891958
young,SC,0.8531958881607337
young,CC,1.3623007530318674
young,AUD,1.38670566883129
young,DMN,0.5275802667011348
young,SMN,0.6509285357881303
young,VIS,0.8605722915621534
young,SC,1.0036852942271717
young,CC,0.6228524995786906
young,AUD,0.4541672059651172
young,DMN,0.7639956942738085
young,SMN,1.1974538818088039
young,VIS,1.0075046615738126
young,SC,0.9393016281423711
young,CC,0.7551996101531642
young,AUD,0.7858014206906399
young,DMN,0.7523241717449807
young,SMN,1.0160413662329024
young,VIS,1.0310566190056545
young,SC,0.8943434941788867
young,CC,1.024516650585515
young,AUD,0.6901523548837522
young,DMN,0.7944018838280328
young,SMN,0.7940024690949512
young,VIS,0.9809706757256907
young,SC,0.49983013704072954
young,CC,0.9141173376574206
