Subj,LDI
young,0.33333333
young,0.19444444
young,0.44444444
young,0.55555556
young,0.16666667
young,0.0
young,-0.19444444
young,0.08333333
young,0.4722222
young,0.13888889
young,0.16666667
young,0.33333333
young,0.0
young,0.41666667
young,0.16666667
young,0.19444444
young,0.27777778
young,0.36111111
young,0.0
young,0.36111111
young,0.44444444
young,0.30555556
young,0.38888889
young,0.25
young,0.08333333
young,0.22222222
young,0.27777778
young,0.69444444
young,0.47222222
young,0.16666667
young,0.0
young,0.52777778
young,0.13888889
young,0.5
elder,0.02777778
elder,0.16666667
elder,0.0
elder,0.08333333
elder,0.0
elder,0.11111111
elder,0.25
elder,0.05555556
elder,0.16666667
elder,0.11111111
elder,0.5
elder,0.08333333
elder,0.41666667
elder,-0.02777778
elder,0.05555556
elder,0.44444444
elder,0.0
elder,0.22222222
elder,-0.05555556
elder,-0.08333333
elder,0.13888889
elder,0.19444444
elder,0.0
elder,-0.30555556
elder,0.02777778
elder,0.11111111
elder,-0.36111111
elder,0.44444444
