Group,ICA,Timescale
young,DMN_1,0.4810836908888767
young,DMN_2,0.5043542872592881
young,DMN_3,1.0454299656431016
young,DMN_4,0.7296627616760292
young,DMN_5,0.6252193829884655
young,DMN_6,1.040743035457429
young,DMN_7,1.185865314998714
young,DMN_8,0.17979348366625778
young,DMN_9,0.0
young,DMN_10,1.1892324170353352
young,DMN_11,2.602013234164749
young,SMN_1,2.1894838353185597
young,SMN_2,2.4739114205808264
young,SMN_3,0.4843948820853806
young,SMN_4,0.4449356645390104
young,SMN_5,0.3362683019349567
young,SMN_6,0.4939395909259023
young,VIS_1,1.347011778169118
young,VIS_2,1.7419563874599215
young,VIS_3,0.8252844194501375
young,VIS_4,1.5622902232315479
young,VIS_5,0.3966828677456484
young,VIS_6,1.7561928929199806
young,VIS_7,0.0
young,VIS_8,0.3626929503358234
young,VIS_9,1.235353676677856
young,VIS_10,1.7541229467141786
young,VIS_11,0.40358015800418795
young,VIS_12,0.5092124479313345
young,SC_1,0.0
young,SC_2,1.4974648184022772
young,SC_3,0.23710904103934416
young,SC_4,0.9764311116132646
young,SC_5,0.962217137611624
young,SC_6,0.22644730383273193
young,SC_7,1.3969949930898595
young,CC_1,2.1854360091339404
young,CC_2,0.44886794065321795
young,CC_3,0.30467979611305923
young,CC_4,1.943391206861783
young,CC_5,1.2722845099500528
young,CC_6,1.3583317648589925
young,CC_7,1.0714088027799775
young,CC_8,0.4165393813680489
young,CC_9,0.2641844519221763
young,CC_10,0.3710764593413543
young,CC_11,1.3870903845133127
young,CC_12,0.2737150638114681
young,CC_13,0.3680663599916356
young,CC_14,1.1892626093380576
young,CC_15,0.203647906746145
young,CC_16,1.0615937480512823
young,CC_17,0.6162922335517836
young,CC_18,1.8662865931062382
young,AUD_1,2.083227864454874
young,AUD_2,1.3089775518756404
young,AUD_3,0.3266515174516633
young,AUD_4,1.219414128376875
young,AUD_5,0.4335609564366625
young,AUD_6,0.3216296848917346
young,DMN_1,1.368185404496823
young,DMN_2,0.7332423561933173
young,DMN_3,2.436189869793343
young,DMN_4,2.318366867712583
young,DMN_5,0.9085734472624262
young,DMN_6,1.9173971449629663
young,DMN_7,0.8241846702923193
young,DMN_8,0.6465274147942903
young,DMN_9,0.2654706454052557
young,DMN_10,0.6012200840908726
young,DMN_11,1.7734522885716648
young,SMN_1,2.7408910292752755
young,SMN_2,1.3076704774989691
young,SMN_3,1.1917832284155687
young,SMN_4,1.9104692529463405
young,SMN_5,0.7285751430897836
young,SMN_6,0.8628385384485477
young,VIS_1,2.4648468378202084
young,VIS_2,1.3886625466414355
young,VIS_3,2.240819780270414
young,VIS_4,0.8428891078566613
young,VIS_5,1.211454570543768
young,VIS_6,0.8997511656141732
young,VIS_7,0.5566464083677292
young,VIS_8,0.8387145354025674
young,VIS_9,2.1188765951473125
young,VIS_10,2.126715322013504
young,VIS_11,3.20047940326993
young,VIS_12,1.068341673460068
young,SC_1,0.0
young,SC_2,1.3834331199260392
young,SC_3,1.7206258867972648
young,SC_4,1.6246693679186686
young,SC_5,0.8747183104284849
young,SC_6,0.8124883424319448
young,SC_7,0.7133939629951354
young,CC_1,2.2357073426498153
young,CC_2,1.910088374115592
young,CC_3,0.4507692152924335
young,CC_4,1.8835786952886477
young,CC_5,4.320574380136112
young,CC_6,1.9380603209044691
young,CC_7,0.9604152923792628
young,CC_8,0.3498541001632513
young,CC_9,2.187130781026527
young,CC_10,1.4053817259138657
young,CC_11,0.87216922037104
young,CC_12,0.8702857518503566
young,CC_13,1.0299094866095144
young,CC_14,1.0610787914955482
young,CC_15,0.6975159028131851
young,CC_16,0.7201488838692411
young,CC_17,3.06348465765744
young,CC_18,2.5789963555695286
young,AUD_1,0.8256444776901243
young,AUD_2,1.4003038553619902
young,AUD_3,1.3346708507659621
young,AUD_4,1.5153251880307486
young,AUD_5,1.1480920563561077
young,AUD_6,1.3972969454033928
young,DMN_1,0.7911014860730041
young,DMN_2,1.8307628102067053
young,DMN_3,0.5268127688733132
young,DMN_4,1.371953620576698
young,DMN_5,0.6275787573451374
young,DMN_6,1.097163248236608
young,DMN_7,1.427462216715682
young,DMN_8,0.6218059138738234
young,DMN_9,0.4432492321713576
young,DMN_10,0.8391348998705069
young,DMN_11,0.5622131984093193
young,SMN_1,0.896130842671899
young,SMN_2,0.6596676443313003
young,SMN_3,0.821527450865908
young,SMN_4,1.8332943891792934
young,SMN_5,0.7580594498137737
young,SMN_6,0.8207054241609881
young,VIS_1,0.7886434973672289
young,VIS_2,1.4476257798015186
young,VIS_3,0.68235178271683
young,VIS_4,0.7154688030907909
young,VIS_5,1.0777517198994877
young,VIS_6,0.5156689849144248
young,VIS_7,0.5447442010056696
young,VIS_8,0.48102812741672935
young,VIS_9,0.9111064637222174
young,VIS_10,0.8088450430397286
young,VIS_11,0.2743781206055117
young,VIS_12,0.7887512246542099
young,SC_1,2.1973124653565286
young,SC_2,1.4474347099435443
young,SC_3,0.8956136379234788
young,SC_4,1.091282914113151
young,SC_5,1.3718058558147752
young,SC_6,0.8686985915054211
young,SC_7,0.9624677451200273
young,CC_1,1.8273086150314424
young,CC_2,0.689054036552252
young,CC_3,0.5745209584951222
young,CC_4,1.4231114523260204
young,CC_5,0.6726438503498224
young,CC_6,1.4004760990874372
young,CC_7,1.6696143734685804
young,CC_8,0.7002029732619888
young,CC_9,0.801041132232127
young,CC_10,4.146461028668684
young,CC_11,0.6848674316878205
young,CC_12,0.27375982887734795
young,CC_13,0.5883165876978367
young,CC_14,1.3034628882146397
young,CC_15,0.37199099898844606
young,CC_16,0.6945177327987533
young,CC_17,0.4243625381157124
young,CC_18,1.5117748617134765
young,AUD_1,1.6796481202668971
young,AUD_2,0.561726638584225
young,AUD_3,1.4637789891264015
young,AUD_4,0.8272181886104277
young,AUD_5,0.590802483875051
young,AUD_6,1.6931845423010496
young,DMN_1,0.3640919782225714
young,DMN_2,0.704529761584146
young,DMN_3,1.3922907134916203
young,DMN_4,1.0445449777124642
young,DMN_5,1.8659743458626827
young,DMN_6,1.0857098053861765
young,DMN_7,0.0
young,DMN_8,0.24536381713206243
young,DMN_9,0.0
young,DMN_10,0.38085116427513005
young,DMN_11,1.8226076503013442
young,SMN_1,1.3096955516887423
young,SMN_2,1.3338341810147316
young,SMN_3,0.08582135979415008
young,SMN_4,1.5598927670944427
young,SMN_5,1.5214766242912563
young,SMN_6,0.24109931879298613
young,VIS_1,0.9449806083313449
young,VIS_2,0.5468112525229015
young,VIS_3,1.034653716438255
young,VIS_4,1.9005817371725726
young,VIS_5,1.422118054327431
young,VIS_6,0.7408625161302904
young,VIS_7,0.0
young,VIS_8,0.03305813491623418
young,VIS_9,2.0519869787424603
young,VIS_10,0.7381538222861136
young,VIS_11,1.148345026851971
young,VIS_12,0.3140753421611893
young,SC_1,0.6379163224346207
young,SC_2,0.0
young,SC_3,0.6853648915923422
young,SC_4,0.8510804992893943
young,SC_5,0.4402724754254665
young,SC_6,0.22061613521716836
young,SC_7,0.8123627047973692
