Group,GMV_ratio,GMV_nodes
Young,0.99921,99921
Young,0.99698,99698
Young,0.99917,99917
Young,0.99733,99733
Young,0.99682,99682
Young,0.99589,99589
Young,0.99966,99966
Young,0.99735,99735
Young,0.99703,99703
Young,0.99925,99925
Young,0.99827,99827
Young,0.99943,99943
Young,0.99972,99972
Young,0.99959,99959
Young,0.99765,99765
Young,0.99959,99959
Young,0.99964,99964
Young,0.99843,99843
Young,0.99682,99682
Young,0.99691,99691
Young,0.99846,99846
Young,0.99905,99905
Young,0.99736,99736
Young,0.99708,99708
Young,0.9994,99940
Young,0.99541,99541
Young,0.99593,99593
Young,0.99736,99736
Young,0.99934,99934
Young,0.9994,99940
Elderly,0.99845,99845
Elderly,0.99615,99615
Elderly,0.99828,99828
Elderly,0.99814,99814
Elderly,0.99926,99926
Elderly,0.99795,99795
Elderly,0.99719,99719
Elderly,0.99687,99687
Elderly,0.99738,99738
Elderly,0.99859,99859
Elderly,0.99996,99996
Elderly,0.99621,99621
Elderly,0.99663,99663
Elderly,0.99937,99937
Elderly,0.99917,99917
Elderly,0.99764,99764
Elderly,0.9953,99530
Elderly,0.99701,99701
Elderly,0.99764,99764
Elderly,0.99598,99598
Elderly,0.99926,99926
Elderly,0.99996,99996
Elderly,0.99894,99894
Elderly,0.99654,99654
Elderly,0.99714,99714
Elderly,0.99828,99828
Elderly,0.99768,99768
Elderly,0.99872,99872
Elderly,0.9953,99530
Elderly,0.99879,99879
