sigmas,rho,intf,F0,Group
0.82,"[7.50172540e-03 1.19027376e-03 4.60105824e-04 ... 9.00207048e-05
 1.30029907e-04 1.30029907e-04]",4.200922889535485,0.00010901507346689724,Young
0.98,[0.00961182 0.0018041  0.00061139 ... 0.00019043 0.0001303  0.00012027],31.508780195166146,0.0003319134435167828,Young
0.95,[0.00932597 0.00168108 0.00039025 ... 0.00042027 0.00026017 0.0003202 ],19.872712656826856,0.00022481388088376462,Young
0.77,"[7.02456597e-03 1.09070896e-03 2.10136589e-04 ... 1.10071547e-04
 9.00585380e-05 1.40091059e-04]",2.4617673919902927,8.239355581127788e-05,Young
0.9,"[8.71693533e-03 1.58489733e-03 4.31332818e-04 ... 6.01859747e-05
 1.00309958e-05 1.00309958e-05]",6.249225875006266,0.00010209547501780529,Young
0.96,[0.00896619 0.00142098 0.00037026 ... 0.00041028 0.00041028 0.00049034],23.885359251806406,0.000457835906775675,Young
0.67,"[6.68367602e-03 8.60473260e-04 1.60088048e-04 ... 2.00110061e-05
 4.00220121e-05 5.00275151e-05]",2.489344558529542,5.6581119615788905e-05,Young
0.98,"[9.42108960e-03 1.79592656e-03 5.21721682e-04 ... 9.02979833e-05
 9.02979833e-05 9.02979833e-05]",39.27462450656177,0.0004004113574796823,Young
0.89,[0.00902654 0.00169498 0.00053156 ... 0.00019056 0.00025074 0.0001705 ],8.119460610006158,0.00012499749262832763,Young
0.89,"[8.98743563e-03 1.54299341e-03 3.40660882e-04 ... 1.00194377e-05
 0.00000000e+00 1.00194377e-05]",8.176848960790489,0.00010606576758912314,Young
0.94,[0.00845068 0.00149543 0.00042153 ... 0.00131477 0.00164597 0.00135492],8.30734555815153,0.0013784236779509657,Young
0.97,[0.008713   0.00167442 0.00059156 ... 0.0001905  0.00017045 0.00012032],31.70587461137543,0.00031890190101868904,Young
0.91,"[8.83580054e-03 1.45424640e-03 2.90849280e-04 ... 1.00292855e-05
 1.00292855e-05 2.00585710e-05]",10.211539227658799,0.00010955991495165886,Young
0.76,"[7.45289351e-03 1.12194096e-03 1.40242620e-04 ... 4.00693199e-05
 2.00346600e-05 4.00693199e-05]",3.5224261032750017,5.383313131717891e-05,Young
0.87,"[8.11267718e-03 1.36044895e-03 3.50115538e-04 ... 1.30042914e-04
 9.00297098e-05 6.00198065e-05]",6.240812160666458,0.00011889923674812683,Young
0.93,[0.00843459 0.00152263 0.0005209  ... 0.00043075 0.00039068 0.0005209 ],11.905993912682737,0.0006465685636150543,Young
0.94,[0.00874484 0.00138393 0.00047134 ... 0.00102291 0.00083236 0.00095271],14.873128920226216,0.000662661959966302,Young
0.97,[0.00914196 0.00187862 0.00059272 ... 0.00066304 0.00059272 0.00069318],33.088151130202576,0.00026147014797922493,Young
0.96,[0.00923855 0.00165511 0.00046143 ... 0.00022068 0.00026081 0.00022068],20.869963930899505,0.00022157466571706588,Young
0.98,[0.00943927 0.00173723 0.00045188 ... 0.00144602 0.00150627 0.00139581],25.500907725102348,0.0016785527795629808,Young
0.82,"[7.66725132e-03 1.27286394e-03 3.10699073e-04 ... 6.01353044e-05
 1.00225507e-04 1.10248058e-04]",5.205168903995108,6.644951140065158e-05,Young
0.95,[0.00923496 0.00158256 0.00050081 ... 0.00025041 0.00024039 0.00025041],16.830817402567824,0.00021100182295318422,Young
0.94,[0.00861844 0.00156699 0.0003817  ... 0.00034152 0.00044197 0.00047211],23.23926746609836,0.00020833919279988775,Young
0.93,"[8.72714141e-03 1.58492913e-03 3.10967108e-04 ... 9.02807732e-05
 1.40436758e-04 1.20374364e-04]",12.099812736525964,0.00014617460301537735,Young
