sigmas,rho,intf,F0,Group
0.99,[0.00935945 0.00175177 0.00057058 ... 0.00095096 0.00092093 0.00096097],25.398990850666426,0.0008322906135196538,Young
0.94,[0.00936681 0.00166655 0.00048189 ... 0.00086339 0.00097383 0.00105414],11.007668348841237,0.0011730300079311692,Young
0.93,[0.00910475 0.0014824  0.0004908  ... 0.00050081 0.00042068 0.00036058],9.875427185554763,0.00047466896372122845,Young
0.94,[0.00872829 0.00160152 0.00036034 ... 0.00039037 0.0004204  0.00048046],12.86862631353362,0.0005743155998198294,Young
0.99,[0.0088739  0.0015807  0.00036016 ... 0.00139061 0.0013706  0.00131058],25.941669242466315,0.0005916803393493137,Young
0.95,[0.00880201 0.00161404 0.00051128 ... 0.0002005  0.00021053 0.00019048],17.492827402761307,0.00019934837092731834,Young
0.92,[0.00895198 0.00170801 0.00035165 ... 0.00116547 0.00109514 0.00103485],7.583291067655763,0.0010075855763530958,Young
0.96,[0.00856432 0.00145413 0.00033094 ... 0.00143407 0.00129367 0.00127362],17.572497635974937,0.0009161117573909873,Young
0.9,[0.00863311 0.0013905  0.00041015 ... 0.00019007 0.00024009 0.0002801 ],9.819740966373834,0.00014082069545036214,Young
0.88,[0.00876181 0.00141514 0.00039142 ... 0.00084306 0.00079288 0.00077281],6.026849790871853,0.0005143972620612817,Young
0.92,[0.00819418 0.00161279 0.00048083 ... 0.00043075 0.00040069 0.00041071],11.199616234714336,0.00039715708175143,Young
0.89,"[8.15334287e-03 1.46059885e-03 4.00164067e-04 ... 5.00205084e-05
 7.00287118e-05 7.00287118e-05]",5.514223693871675,0.00011773827269180364,Young
1.0,[0.00904012 0.00197221 0.00065073 ... 0.0018721  0.00170191 0.00163183],19.151135519782716,0.0015508569597949718,Young
0.99,[0.00949136 0.00187422 0.00055124 ... 0.00096216 0.00105237 0.00097219],21.310178602597677,0.0018100225507391644,Young
0.96,[0.00912405 0.00167258 0.00051079 ... 0.00153236 0.00163251 0.00148228],19.125257874337795,0.0007928610059491623,Young
0.95,[0.0088547  0.0016847  0.00045126 ... 0.00033092 0.00034095 0.00033092],15.520579436749669,0.0001971400206576349,Young
0.93,"[8.78360128e-03 1.45059474e-03 3.90159966e-04 ... 1.10045118e-04
 7.00287118e-05 9.00369151e-05]",10.760392714582483,0.00023245530667573698,Young
0.92,[0.00907359 0.00172448 0.00052136 ... 0.00012031 0.00016042 0.00017044],10.686164700040788,0.00013924202927611772,Young
0.79,"[7.17495072e-03 9.20635238e-04 2.20151905e-04 ... 5.00345238e-05
 5.00345238e-05 8.00552381e-05]",4.282092475257468,6.892756001641147e-05,Young
0.99,[0.00898694 0.0017773  0.00044182 ... 0.00031128 0.00030124 0.00032132],42.97463553320489,0.00036797236642601127,Young
0.95,[0.00901506 0.00154258 0.00052087 ... 0.0007212  0.00062104 0.00057095],20.890063243367038,0.00048487974918113295,Young
0.99,[0.00981338 0.00176781 0.00046204 ... 0.00225999 0.0022399  0.00228008],14.927355394102307,0.0022743124610779646,Young
0.98,[0.00924553 0.00194326 0.00039066 ... 0.00100168 0.00093157 0.00100168],21.675045088790107,0.0011528567994230313,Young
0.85,"[8.01520989e-03 1.23080002e-03 3.00195127e-04 ... 7.00455296e-05
 9.00585380e-05 1.00065042e-04]",6.0363830799987435,0.00013705908840746535,Young
0.79,[0.0071892  0.00106284 0.00024064 ... 0.00014037 0.00013035 0.00011029],3.654882200487807,7.695547110785822e-05,Young
0.78,"[8.00568404e-03 1.18083840e-03 3.10220256e-04 ... 3.00213151e-05
 8.00568404e-05 1.00071050e-04]",3.7430695418741933,5.556945431256174e-05,Young
0.87,[0.00856445 0.00139072 0.0001901  ... 0.00016008 0.00018009 0.00017009],6.703299794536376,0.000180593908832593,Young
0.94,[0.00862474 0.00168092 0.00042023 ... 0.00023013 0.00017009 0.00016009],14.698892900053421,0.00018193006153384433,Young
0.98,"[9.15311206e-03 1.66056459e-03 4.50153052e-04 ... 8.00272093e-05
 1.30044215e-04 1.70057820e-04]",22.18351161530701,0.0006741192005281787,Young
0.96,[0.00862216 0.00117438 0.00027101 ... 0.00039146 0.00041154 0.00042157],19.08197952582077,0.000206108785770926,Young
0.8,"[7.12867713e-03 1.07281076e-03 2.20577914e-04 ... 9.02364194e-05
 1.00262688e-04 9.02364194e-05]",5.643227424190795,4.985060859451815e-05,Young
0.84,"[8.05505121e-03 1.17365005e-03 3.41060699e-04 ... 4.01247881e-05
 3.00935911e-05 2.00623940e-05]",7.101335638736561,9.687126964860659e-05,Young
0.96,[0.00892606 0.00144422 0.00040117 ... 0.00011032 0.00011032 0.00010029],30.729426771760295,0.00018889156336502589,Young
0.77,"[7.66214540e-03 1.21033889e-03 2.90081223e-04 ... 2.00056016e-05
 2.00056016e-05 5.00140039e-05]",3.9349341030891662,5.544552474692859e-05,Young
0.84,"[8.52814287e-03 1.32437042e-03 2.10695294e-04 ... 2.00662185e-05
 4.01324370e-05 6.01986556e-05]",6.0321588569619236,6.32687869970905e-05,Young
0.86,"[7.74051236e-03 1.41374643e-03 3.70983105e-04 ... 8.02125633e-05
 1.20318845e-04 8.02125633e-05]",6.210500108803024,7.335438913119754e-05,Young
0.86,[0.00830705 0.00117524 0.00035157 ... 0.00021094 0.00012054 0.00010045],6.678366451444467,0.00010073929726580568,Young
0.89,"[8.30191706e-03 1.38365284e-03 4.11085265e-04 ... 3.00794096e-05
 2.00529398e-05 4.01058795e-05]",7.1871769621154,0.00016135597978663698,Young
0.89,[0.00870045 0.00162569 0.00049172 ... 0.00015053 0.00016056 0.00022077],5.917876918004985,9.874560963371752e-05,Young
0.72,[0.00709455 0.00109533 0.00029142 ... 0.00040196 0.00031152 0.00023113],1.848795425224486,0.0003200486368615152,Young
0.84,"[7.81813808e-03 1.16269746e-03 3.40790634e-04 ... 9.02092855e-05
 8.01860316e-05 7.01627776e-05]",5.591330934701883,7.167628899045797e-05,Young
0.97,[0.00922554 0.00157094 0.00043026 ... 0.00079047 0.00076046 0.00070042],17.961654805282322,0.0002597758655193118,Young
0.96,[0.00910712 0.00177333 0.000531   ... 0.00065122 0.00077145 0.00073137],22.901540934734488,0.0008281068408608187,Young
0.89,"[8.50884498e-03 1.36462608e-03 3.51190536e-04 ... 9.03061378e-05
 1.00340153e-04 8.02721225e-05]",7.9594939355916186,9.292501580357413e-05,Young
