,Group,int_sigma_diff,Connections
0,Young,0.9549934968126241,954993
1,Young,0.9010490792385035,901049
2,Young,0.9831443474425865,983144
3,Young,0.9188138570153411,918813
4,Young,0.8562159017500625,856215
5,Young,0.893027505891997,893027
6,Young,0.8681600521855878,868160
7,Young,0.9644010274136998,964401
8,Young,0.9759636712257669,975963
9,Young,0.8507013730255528,850701
10,Young,0.9526034446623441,952603
11,Young,0.7924085310390092,792408
12,Young,0.8846834498373425,884683
13,Young,0.9555217939247259,955521
14,Young,0.9717021229614782,971702
15,Young,0.9331796669568075,933179
16,Young,0.9076837049856994,907683
17,Young,0.8104755633426223,810475
18,Young,0.9645900218717155,964590
19,Young,0.9503221982982132,950322
20,Young,0.9650765184208205,965076
21,Young,0.9841307019386553,984130
22,Young,0.8478536986970105,847853
23,Young,0.9883339191581219,988333
24,Young,0.9781732734915489,978173
25,Young,0.8861321439777309,886132
26,Young,0.9816678302055033,981667
27,Young,0.996339159245849,996339
28,Young,0.8695074841772008,869507
29,Young,0.79554775777125,795547
30,Young,0.9390960418765583,939096
31,Young,0.9247612229776137,924761
32,Young,0.9545766291243007,954576
33,Young,0.7936276137288175,793627
34,Young,0.9704671982124191,970467
35,Young,0.9737396592671255,973739
36,Young,0.950766668710414,950766
37,Young,0.924590889130991,924590
38,Young,0.9107298124150679,910729
39,Young,0.89954290153714,899542
40,Young,0.9997245599452618,999724
41,Young,0.9333975852936485,933397
42,Young,0.9637759520110567,963775
43,Young,0.8729361218464167,872936
44,Young,0.9726151709245342,972615
45,Young,0.982216712759258,982216
46,Young,0.8887306188719691,888730
47,Young,0.8868458478526189,886845
48,Young,0.9663619941926354,966361
49,Young,0.8494887291030445,849488
50,Elderly,0.7509267886058688,750926
51,Elderly,0.795157995857908,795157
52,Elderly,0.7982591201403015,798259
53,Elderly,0.7600080802136239,760008
54,Elderly,0.7412533897481941,741253
55,Elderly,0.7701935428263064,770193
56,Elderly,0.8037186253652873,803718
57,Elderly,0.6915301807799927,691530
58,Elderly,0.663344294624238,663344
59,Elderly,0.6835085475339886,683508
60,Elderly,0.7422860590399496,742286
61,Elderly,0.8831636849084046,883163
62,Elderly,0.7110127571169637,711012
63,Elderly,0.6817973898381086,681797
64,Elderly,0.7864877142907712,786487
65,Elderly,0.7430326950381612,743032
66,Elderly,0.6588879720247395,658887
67,Elderly,0.729121539480388,729121
68,Elderly,0.7647545494493758,764754
69,Elderly,0.6232024303065808,623202
70,Elderly,0.779148114521976,779148
71,Elderly,0.8397576607515866,839757
72,Elderly,0.7233940138053748,723394
73,Elderly,0.802056589025767,802056
74,Elderly,0.670822787746319,670822
75,Elderly,0.7309582565013838,730958
76,Elderly,0.8703842448540018,870384
77,Elderly,0.7926441536219477,792644
78,Elderly,0.7793067867700462,779306
79,Elderly,0.8279309675808072,827930
80,Elderly,0.7775302202144191,777530
81,Elderly,0.7839247654338699,783924
82,Elderly,0.6668520901960516,666852
83,Elderly,0.8337435562827293,833743
84,Elderly,0.7485877180781786,748587
85,Elderly,0.7376685604723396,737668
86,Elderly,0.7524885642589727,752488
87,Elderly,0.6961110774188989,696111
88,Elderly,0.7235101227728996,723510
89,Elderly,0.6311468823706483,631146
90,Elderly,0.6342519297064088,634251
91,Elderly,0.6761585133895097,676158
92,Elderly,0.7729414295274498,772941
93,Elderly,0.7730961395755257,773096
94,Elderly,0.6886734926263248,688673
95,Elderly,0.819065708149952,819065
96,Elderly,0.806936643989047,806936
97,Elderly,0.6118240355579829,611824
98,Elderly,0.7800558821111309,780055
99,Elderly,0.6084969348071515,608496
