Group,GMV_ratio,GMV_nodes
Young,0.0010188517302921148,99899
Young,0.003939792293434653,99607
Young,0.0016263540116792507,99838
Young,0.0009545686174381142,99905
Young,0.00044157901041290187,99956
Young,0.0025001561350187235,99750
Young,0.004692606540165017,99531
Young,0.0028405794072876196,99716
Young,0.00036903604164043133,99964
Young,0.0036319767877389894,99637
Young,0.0017309646416778528,99827
Young,0.00041848679652809503,99959
Young,0.0011289009668243508,99888
Young,0.0022582966583591926,99775
Young,0.0015415940552639751,99846
Young,0.0027999980427969194,99721
Young,0.0004164741151932036,99959
Young,0.002600087002079479,99740
Young,0.000694017811611423,99931
Young,0.004118215022923163,99589
Young,0.0016755064477417885,99833
Young,0.0044283548486089945,99558
Young,0.0016880281662878527,99832
Young,0.000659230250852788,99935
Young,0.0026740629292354608,99733
Young,0.0007180043104250503,99929
Young,0.0005270441750736645,99948
Young,0.0005512774399116156,99945
Young,0.0003487371458182121,99966
Young,0.00373266530609183,99627
Young,0.002622923773511819,99738
Young,0.0031185329129958454,99689
Young,0.002921806489060527,99708
Young,0.0002867112604489721,99972
Young,0.003303965597845937,99670
Young,0.0026567139731833874,99735
Young,0.004469756450169223,99554
Young,0.002645325427134697,99736
Young,0.0035071442227358964,99650
Young,0.004872455877279122,99513
Young,0.0023220876919195143,99768
Young,0.0006053381979481977,99940
Young,0.0018807499126198507,99812
Young,0.00339242342101687,99661
Young,0.000809804825262499,99920
Young,0.002548372447602024,99746
Young,0.0027913407399830963,99721
Young,0.002469408906934205,99754
Young,0.0019418943962908107,99806
Young,0.0007579476755361432,99925
Young,0.0006687583822927895,99934
Young,0.0006492660926539463,99936
Young,0.0008304751080987671,99917
Young,0.002467031985062643,99754
Young,0.002304099563445976,99770
Young,0.004169901088766215,99584
Young,0.003099656400051459,99691
Young,0.003186142259754137,99682
Young,0.0029465457713176418,99706
Young,0.0029705622467030117,99703
Young,0.004079836716051527,99593
Young,0.0011202342311092772,99888
Young,0.0019780858687927705,99803
Young,0.004597494720256868,99541
Young,0.0015774104020172281,99843
Young,0.00021646052944258507,99979
Young,0.0019050042676697296,99810
Young,0.0026486899418308573,99736
Young,0.0005747623197360011,99943
Young,0.0006625193049683432,99934
Young,0.002277164598111855,99773
Young,0.0030210184845404935,99698
Young,0.00033305368939807653,99967
Young,0.00235179280960282,99765
Young,0.0018225325197434132,99818
Young,0.0029382264707206725,99707
Young,0.0033004442659395183,99670
Young,0.004661366390761321,99534
Young,0.0002346105131043163,99977
Young,0.000790239224236731,99921
Young,0.0006234740539954167,99938
Young,0.0013970800369912384,99861
Young,0.00031169756018325167,99969
Young,0.001555750799667454,99845
Young,0.0025992797494522454,99741
Young,0.0024577226260592837,99755
Young,0.0005128600808062157,99949
Young,0.001351946920004741,99865
Young,0.0005114084097648247,99949
Young,0.002357118846026674,99765
Young,0.0007172202625669983,99929
Young,5.5521551602012655e-05,99995
Young,0.0038019925072280566,99620
Young,0.001614240844506353,99839
Young,0.0036118838043796924,99639
Young,0.0026367086674263535,99737
Young,0.0015592215083115805,99845
Young,0.004291253061020622,99571
Young,0.001416466021607931,99859
Young,0.0007741216547236232,99923
Elderly,0.0011597048151024956,99885
Elderly,0.00037076826557748356,99963
Elderly,0.0013605061509911506,99864
Elderly,0.003196160714823615,99681
