,Group,int_sigma_diff,Connections
0,Young,0.992575716165185,992575
1,Young,0.9415263035772531,941526
2,Young,0.933406309694358,933406
3,Young,0.9402569671940001,940256
4,Young,0.9949380783562669,994938
5,Young,0.9543617590151882,954361
6,Young,0.9188332254298283,918833
7,Young,0.9606924672798881,960692
8,Young,0.904184384929305,904184
9,Young,0.8836912309466197,883691
10,Young,0.921335522961328,921335
11,Young,0.8879038025320768,887903
12,Young,0.9956563759432507,995656
13,Young,0.9921649294326118,992164
14,Young,0.9596304074675874,959630
15,Young,0.9467367973717377,946736
16,Young,0.9294666993023103,929466
17,Young,0.9205918536777621,920591
18,Young,0.7894482126741857,789448
19,Young,0.985197209132641,985197
20,Young,0.9517520767303809,951752
21,Young,0.9875908008069973,987590
22,Young,0.9752559800411571,975255
23,Young,0.8468700329224388,846870
24,Young,0.7944351714010907,794435
25,Young,0.7787208257937517,778720
26,Young,0.8717162715754802,871716
27,Young,0.9443852731351055,944385
28,Young,0.9799264219024324,979926
29,Young,0.9554074618971711,955407
30,Young,0.7975718102816393,797571
31,Young,0.8362562253667004,836256
32,Young,0.9602944903969827,960294
33,Young,0.7685860524207713,768586
34,Young,0.8411483840716627,841148
35,Young,0.8576130433023507,857613
36,Young,0.860209475883308,860209
37,Young,0.8906551863439514,890655
38,Young,0.8948796206156092,894879
39,Young,0.7202569787636517,720256
40,Young,0.836070555145307,836070
41,Young,0.9689589619795609,968958
42,Young,0.9551317371971012,955131
43,Young,0.8896354834441571,889635
44,Young,0.8622188298093258,862218
45,Young,0.8101857616041346,810185
46,Young,0.8566642540144452,856664
47,Young,0.8812995499336609,881299
48,Young,0.9151724171570288,915172
49,Young,0.7258013003854471,725801
50,Young,0.9081965020329525,908196
51,Young,0.9061263527924932,906126
52,Young,0.862200320776817,862200
53,Young,0.9106352466149669,910635
54,Young,0.9820008527452598,982000
55,Young,0.9813876449352668,981387
56,Young,0.9671595416092357,967159
57,Young,0.8883255113074948,888325
58,Young,0.916979965686294,916979
59,Young,0.9754602319201195,975460
60,Young,0.8932582873869747,893258
61,Young,0.9170772286924926,917077
62,Young,0.9341511407566511,934151
63,Young,0.9153726254693558,915372
64,Young,0.9138301157550408,913830
65,Young,0.9176418196648475,917641
66,Young,0.9881978897011702,988197
67,Young,0.9856307597718824,985630
68,Young,0.9501819223912479,950181
69,Young,0.9474265027550695,947426
70,Young,0.8608824059922661,860882
71,Young,0.8405315401351396,840531
72,Young,0.9954610219007216,995461
73,Young,0.9092909250509089,909290
74,Young,0.8977210752648355,897721
75,Young,0.9050784675219005,905078
76,Young,0.9979272777059197,997927
77,Young,0.9322064294137368,932206
78,Young,0.9974146188653654,997414
79,Young,0.9339263782554781,933926
80,Young,0.9641838864118841,964183
81,Young,0.9721665893159752,972166
82,Young,0.9049022678591396,904902
83,Young,0.9298329736785125,929832
84,Young,0.8624638320858834,862463
85,Young,0.8546919920358997,854691
86,Young,0.8865692171921982,886569
87,Young,0.9778946801803606,977894
88,Young,0.9401822449738744,940182
89,Young,0.8912838951664108,891283
90,Young,0.9943840475570415,994384
91,Young,0.951670528928099,951670
92,Young,0.9485151059528719,948515
93,Young,0.9548593818741953,954859
94,Young,0.9117789150524942,911778
95,Young,0.9741427701065926,974142
96,Young,0.9597385285046101,959738
97,Young,0.9686526829787969,968652
98,Young,0.8368486284044269,836848
99,Young,0.9496169950620027,949616
100,Elderly,0.602665224011781,602665
101,Elderly,0.6237233365961797,623723
102,Elderly,0.7593399790694427,759339
103,Elderly,0.7785947289936096,778594
104,Elderly,0.6970382258360939,697038
105,Elderly,0.8824696768471209,882469
106,Elderly,0.8056401107551584,805640
107,Elderly,0.7023352155653569,702335
108,Elderly,0.7116888561022084,711688
109,Elderly,0.8935324396932292,893532
110,Elderly,0.7291135799428091,729113
111,Elderly,0.7679529216267873,767952
112,Elderly,0.8112175814880537,811217
113,Elderly,0.7049544007632641,704954
114,Elderly,0.7787574127209209,778757
115,Elderly,0.7192272825248315,719227
116,Elderly,0.8373694464636221,837369
117,Elderly,0.6266522084219401,626652
118,Elderly,0.7757918572637321,775791
119,Elderly,0.7451986759704767,745198
120,Elderly,0.7921209590808502,792120
121,Elderly,0.787090227312209,787090
122,Elderly,0.7956682321849543,795668
123,Elderly,0.8314565769417126,831456
124,Elderly,0.8652294039609653,865229
125,Elderly,0.6313109457485988,631310
126,Elderly,0.7218764547906552,721876
127,Elderly,0.731467495355975,731467
128,Elderly,0.6685474095044102,668547
129,Elderly,0.7265613128249568,726561
130,Elderly,0.60056388357742,600563
131,Elderly,0.7866937528640813,786693
132,Elderly,0.7063876966014058,706387
133,Elderly,0.7007936177929792,700793
134,Elderly,0.6495382539642452,649538
135,Elderly,0.9114916860387887,911491
136,Elderly,0.7070433784443774,707043
137,Elderly,0.7334120415858522,733412
138,Elderly,0.7171951971175403,717195
139,Elderly,0.8336702567070642,833670
140,Elderly,0.8752718999336626,875271
141,Elderly,0.833929993810977,833929
142,Elderly,0.6947417049784989,694741
143,Elderly,0.719320033718764,719320
144,Elderly,0.7132233805122562,713223
145,Elderly,0.724595842141618,724595
146,Elderly,0.8293488493862193,829348
147,Elderly,0.7012362785871541,701236
148,Elderly,0.7263181366859419,726318
149,Elderly,0.7504513237357362,750451
150,Elderly,0.8523336798396877,852333
151,Elderly,0.6825126161461923,682512
152,Elderly,0.6516665184003078,651666
153,Elderly,0.8175593928861764,817559
154,Elderly,0.7045071698221027,704507
155,Elderly,0.8550341533317852,855034
156,Elderly,0.772488220596665,772488
157,Elderly,0.7783460452797605,778346
158,Elderly,0.6007304257013829,600730
159,Elderly,0.6329407324684563,632940
160,Elderly,0.9103267231149114,910326
161,Elderly,0.7249660376344154,724966
162,Elderly,0.7108264187519844,710826
163,Elderly,0.6427394675390846,642739
164,Elderly,0.6764101833364146,676410
165,Elderly,0.6810481687549652,681048
166,Elderly,0.8146449824437926,814644
167,Elderly,0.7528553970440075,752855
168,Elderly,0.7319141438596135,731914
169,Elderly,0.6295697770147568,629569
170,Elderly,0.7535279794903039,753527
171,Elderly,0.719435748326698,719435
172,Elderly,0.6609611843063103,660961
173,Elderly,0.751017995518435,751017
174,Elderly,0.6294490634728043,629449
175,Elderly,0.6149104147716871,614910
176,Elderly,0.8336895641390383,833689
177,Elderly,0.8542822071743474,854282
178,Elderly,0.7486298857799115,748629
179,Elderly,0.6972217710690459,697221
180,Elderly,0.7175812537772897,717581
181,Elderly,0.7949246306394384,794924
182,Elderly,0.8097914137703657,809791
183,Elderly,0.7489140049171883,748914
184,Elderly,0.6003572203468562,600357
185,Elderly,0.7638646745688165,763864
186,Elderly,0.7969568882701865,796956
187,Elderly,0.7593608657459784,759360
188,Elderly,0.6268494598210768,626849
189,Elderly,0.7549190987226109,754919
190,Elderly,0.8211171768481015,821117
191,Elderly,0.6765785778250357,676578
192,Elderly,0.6364207240026915,636420
193,Elderly,0.6698792785245655,669879
194,Elderly,0.6625411135316364,662541
195,Elderly,0.9424578671642705,942457
196,Elderly,0.7501672424833195,750167
197,Elderly,0.6465712698315947,646571
198,Elderly,0.6263418613668318,626341
199,Elderly,0.72476330606551,724763
